Via Unit 0,Via Unit 1,Register Count,R/W,Data Type,Content,Start Bit Nr.,Category
0,0,1,RW,Word,Analog Output Value 1.1 (0..4000 ~ 0..10V),,Basic
1,1,1,RW,Word,Analog Output Value 1.2 (0..4000 ~ 0..10V),,Basic
2,2,1,RW,Word,Analog Output Value 1.3 (0..4000 ~ 0..10V),,Basic
3,3,1,RW,Word,Analog Output Value 1.4 (0..4000 ~ 0..10V),,Basic
4,4,2,R,Real,Analog Input Value 1.1,,Basic
6,6,2,R,Real,Analog Input Value 1.2,,Basic
8,8,2,R,Real,Analog Input Value 1.3,,Basic
10,10,2,R,Real,Analog Input Value 1.4,,Basic
12,12,1,RW,MixedBits,Section MasterWatchDog (MWD) Status,,Advanced
13,13,1,RW,MixedBits,User LED 1.1,0,Basic
13,13,1,RW,MixedBits,User LED 1.2,1,Basic
13,13,1,RW,MixedBits,User LED 1.3,2,Basic
13,13,1,RW,MixedBits,User LED 1.4,3,Basic
13,13,1,RW,MixedBits,User LED 1.5,4,Basic
13,13,1,RW,MixedBits,User LED 1.6,5,Basic
13,13,1,RW,MixedBits,User LED 1.7,6,Basic
13,13,1,RW,MixedBits,User LED 1.8,7,Basic
13,13,1,RW,MixedBits,User LED 1.9,8,Basic
13,13,1,RW,MixedBits,User LED 1.10,9,Basic
13,13,1,RW,MixedBits,User LED 1.11,10,Basic
13,13,1,RW,MixedBits,User LED 1.12,11,Basic
13,13,1,RW,MixedBits,User LED 1.13,12,Basic
13,13,1,RW,MixedBits,User LED 1.14,13,Basic
,100,2,RW,DWord,(Internal) RS485 Full Mode Configuration 1.1,,Obsolete
500,500,1,W,Word,Reserved - Do Not Use,,Reserved
501,501,1,W,Word,Reserved - Do Not Use,,Reserved
502,502,1,W,Word,Reserved - Do Not Use,,Reserved
503,503,1,W,Word,Reserved - Do Not Use,,Reserved
504,504,1,W,Word,Reserved - Do Not Use,,Reserved
505,505,1,W,Word,Reserved - Do Not Use,,Reserved
506,506,1,W,Word,Reserved - Do Not Use,,Reserved
507,507,1,W,Word,Reserved - Do Not Use,,Reserved
508,508,1,W,Word,Reserved - Do Not Use,,Reserved
509,509,1,W,Word,Reserved - Do Not Use,,Reserved
,510,1,RW,Word,(Internal) Stored Firmware Version,,Expert
,511,1,RW,Word,(Internal) Stored Firmware Revision,,Expert
,512,1,RW,Word,(Internal) Stored Base Firmware Revision,,Expert
,513,1,RW,Word,(Internal) Stored Expanded Flash Magic Value,,Expert
,514,1,RW,Word,(Internal) Stored PCB Revision,,Expert
,515,1,RW,Word,(Internal) Stored PCB Serial Number,,Expert
,516,1,RW,Word,(Internal) Stored HW Revision Number,,Expert
1000,1000,1,R,Word,Firmware Version,,Expert
1001,1001,1,R,Word,Number of I/Os,,Advanced
1002,1002,1,R,Word,Number of peripherals,,Advanced
1003,1003,1,R,Word,Firmware ID,,Expert
1004,1004,1,R,Word,Hardware ID,,Expert
1005,1005,2,R,DWord,PCB Serial Number,,Expert
1007,1007,1,RW,Word,Interrupt Mask,,Expert
1008,1008,1,RW,Word,Section MasterWatchDog (MWD) Timeout (in 1ms),,Advanced
1009,1009,1,R,Word,VRef of MCU,,Expert
1010,1010,1,RW,Word,Analog Input Configuration(U/I/R) 1.1,,Basic
1011,1011,1,RW,Word,Analog Input Configuration(U/I/R) 1.2,,Basic
1012,1012,1,RW,Word,Analog Input Configuration(U/I/R) 1.3,,Basic
1013,1013,1,RW,Word,Analog Input Configuration(U/I/R) 1.4,,Basic
,2000,220,W,Word,Reserved - Do Not Use,,Reserved
4000,4000,1,R,Word,Storage - Erase cycles used [%],,Basic
4001,4001,1,R,Word,Storage - Good blocks [%],,Basic
