family,model,section,DI,DO,RO,AI,AO,LED
axon,Axon_L205,1,4,4,0,1,1,4
axon,Axon_L205,2,16,0,14,0,0,0
axon,Axon_L205,3,16,0,14,0,0,0
axon,Axon_L505,1,4,4,0,1,1,4
axon,Axon_L505,2,6,0,5,4,4,0
axon,Axon_L505,3,14,0,14,0,0,0
axon,Axon_L525,1,4,4,0,1,1,4
axon,Axon_L525,2,4,0,5,4,4,0
axon,Axon_L525,3,16,0,14,0,0,0
axon,Axon_M205,1,4,4,0,1,1,4
axon,Axon_M205,2,16,0,14,0,0,0
axon,Axon_M265,1,4,4,0,1,1,4
axon,Axon_M265,2,16,0,14,0,0,0
axon,Axon_M505,1,4,4,0,1,1,4
axon,Axon_M505,2,6,0,5,4,4,0
axon,Axon_M515,1,0,0,0,4,4,14
axon,Axon_M515,2,6,0,5,4,4,0
axon,Axon_M525,1,4,4,0,1,1,4
axon,Axon_M525,2,4,0,5,4,4,0
axon,Axon_M535,1,0,0,0,4,4,14
axon,Axon_M535,2,4,0,5,4,4,0
axon,Axon_M565,1,4,4,0,1,1,4
axon,Axon_M565,2,4,0,5,4,4,0
axon,Axon_S105,1,4,4,0,1,1,4
axon,Axon_S115,1,4,4,0,1,1,4
axon,Axon_S155,1,4,4,0,1,1,4
axon,Axon_S165,1,4,4,0,1,1,4
axon,Axon_S205,1,8,0,8,0,0,0
axon,Axon_S215,1,8,0,8,0,0,0
axon,Axon_S505,1,0,0,0,4,4,14
axon,Axon_S515,1,0,0,0,4,4,14
neuron,Neuron_L203,1,4,4,0,1,1,4
neuron,Neuron_L203,2,16,0,14,0,0,0
neuron,Neuron_L203,3,16,0,14,0,0,0
neuron,Neuron_L303,1,4,4,0,1,1,4
neuron,Neuron_L303,2,30,0,0,0,0,0
neuron,Neuron_L303,3,30,0,0,0,0,0
neuron,Neuron_L403,1,4,4,0,1,1,4
neuron,Neuron_L403,2,0,0,28,0,0,0
neuron,Neuron_L403,3,0,0,28,0,0,0
neuron,Neuron_L503,1,4,4,0,1,1,4
neuron,Neuron_L503,2,6,0,5,4,4,0
neuron,Neuron_L503,3,14,0,14,0,0,0
neuron,Neuron_L513,1,4,4,0,1,1,4
neuron,Neuron_L513,2,6,0,5,4,4,0
neuron,Neuron_L513,3,6,0,5,4,4,0
neuron,Neuron_L523,1,4,4,0,1,1,4
neuron,Neuron_L523,2,4,0,5,4,4,0
neuron,Neuron_L523,3,16,0,14,0,0,0
neuron,Neuron_L533,1,4,4,0,1,1,4
neuron,Neuron_L533,2,4,0,5,4,4,0
neuron,Neuron_L533,3,4,0,5,4,4,0
neuron,Neuron_M103,1,4,4,0,1,1,4
neuron,Neuron_M103,2,8,0,8,0,0,0
neuron,Neuron_M203,1,4,4,0,1,1,4
neuron,Neuron_M203,2,16,0,14,0,0,0
neuron,Neuron_M303,1,4,4,0,1,1,4
neuron,Neuron_M303,2,30,0,0,0,0,0
neuron,Neuron_M403,1,4,4,0,1,1,4
neuron,Neuron_M403,2,0,0,28,0,0,0
neuron,Neuron_M503,1,4,4,0,1,1,4
neuron,Neuron_M503,2,6,0,5,4,4,0
neuron,Neuron_M523,1,4,4,0,1,1,4
neuron,Neuron_M523,2,4,0,5,4,4,0
neuron,Neuron_S103,1,4,4,0,1,1,4
patron,Patron_L207,1,4,4,0,1,1,4
patron,Patron_L207,2,16,0,14,0,0,0
patron,Patron_L207,3,16,0,14,0,0,0
patron,Patron_L527,1,4,4,0,1,1,4
patron,Patron_L527,2,4,0,5,4,4,0
patron,Patron_L527,3,16,0,14,0,0,0
patron,Patron_M207,1,4,4,0,1,1,4
patron,Patron_M207,2,16,0,14,0,0,0
patron,Patron_M267,1,4,4,0,1,1,4
patron,Patron_M267,2,16,0,14,0,0,0
patron,Patron_M527,1,4,4,0,1,1,4
patron,Patron_M527,2,4,0,5,4,4,0
patron,Patron_M567,1,4,4,0,1,1,4
patron,Patron_M567,2,4,0,5,4,4,0
patron,Patron_S107,1,4,4,0,1,1,4
patron,Patron_S117,1,4,4,0,1,1,4
patron,Patron_S167,1,4,4,0,1,1,4
patron,Patron_S207,1,8,0,8,0,0,0
